"Udledning af drivhusgasser efter enhed, kilde, branche, type,"
"drivhusgas, område og tid"

" ";" ";" ";" ";" ";" ";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011"
"Udledning i ton"
" ";"I alt"
" ";" ";"I alt"
" ";" ";" ";"Faktisk udledning"
" ";" ";" ";" ";"CO2"
" ";" ";" ";" ";" ";"Nyborg";291;265;208;191;442;170;166;172;147;169;155;157
" ";" ";" ";" ";" ";"Odense";178;188;204;142;369;147;146;154;152;140;155;149
" ";" ";" ";" ";" ";"Svendborg";247;239;235;220;220;216;210;216;174;199;188;190
" ";" ";" ";" ";" ";"Nordfyns";303;298;296;280;290;284;276;276;245;292;259;262
" ";" ";" ";" ";" ";"Langeland";185;178;185;168;170;166;161;162;183;177;166;168
" ";" ";" ";" ";" ";"Ærø";65;62;62;58;58;57;56;56;37;59;49;49
" ";" ";" ";" ";" ";"Haderslev";444;428;429;396;410;402;390;445;432;451;424;429
" ";" ";" ";" ";" ";"Billund";190;189;181;172;179;177;171;165;194;177;171;173
" ";" ";" ";" ";" ";"Sønderborg";378;369;368;351;810;356;346;370;397;342;353;358
" ";" ";" ";" ";" ";"Tønder";491;479;480;444;472;454;441;437;455;376;404;409
" ";" ";" ";" ";" ";"Esbjerg";331;323;317;297;307;289;285;281;262;259;256;267
" ";" ";" ";" ";" ";"Fanø";1;1;1;1;1;1;1;0;0;0;0;0
" ";" ";" ";" ";" ";"Varde";398;392;386;337;356;338;328;345;276;340;306;310
" ";" ";" ";" ";" ";"Vejen";373;376;370;339;361;345;336;354;327;337;325;328
" ";" ";" ";" ";" ";"Aabenraa";416;407;410;381;402;371;374;378;398;348;366;357
" ";" ";" ";" ";" ";"Fredericia";2584;2710;2369;2829;440;70;71;83;59;70;69;67
" ";" ";" ";" ";" ";"Horsens";279;274;276;256;268;258;251;258;211;246;229;231
" ";" ";" ";" ";" ";"Kolding";388;385;378;353;370;356;347;336;351;307;316;320
" ";" ";" ";" ";" ";"Vejle";998;508;507;479;493;489;476;456;507;442;447;452
" ";" ";" ";" ";" ";"Herning";567;563;552;507;523;516;502;502;534;502;492;497
" ";" ";" ";" ";" ";"Holstebro";334;336;329;317;326;326;317;322;339;286;302;305
" ";" ";" ";" ";" ";"Lemvig";253;247;241;222;229;231;225;226;242;228;223;226
" ";" ";" ";" ";" ";"Struer";172;168;168;158;164;160;155;176;130;154;147;148
" ";" ";" ";" ";" ";"Syddjurs";333;321;316;294;296;286;277;254;250;259;243;246
" ";" ";" ";" ";" ";"Norddjurs";413;405;394;365;375;371;360;371;381;367;357;362
" ";" ";" ";" ";" ";"Favrskov";370;356;348;326;338;334;325;352;348;312;322;325
" ";" ";" ";" ";" ";"Odder";172;163;161;155;160;161;156;156;120;148;135;137
" ";" ";" ";" ";" ";"Randers";487;467;459;429;493;421;409;453;441;419;419;424
" ";" ";" ";" ";" ";"Silkeborg";327;315;301;269;281;281;275;283;283;254;262;265
" ";" ";" ";" ";" ";"Samsø";53;52;51;47;49;49;48;41;60;42;46;46
" ";" ";" ";" ";" ";"Skanderborg";224;217;213;202;212;208;202;209;200;209;197;200
" ";" ";" ";" ";" ";"Aarhus";310;305;302;291;401;285;287;289;309;260;277;277
" ";" ";" ";" ";" ";"Ikast-Brande";259;259;258;236;245;250;243;222;163;220;193;195
" ";" ";" ";" ";" ";"Ringkøbing-Skjern";623;611;598;552;581;583;566;575;602;543;548;554
" ";" ";" ";" ";" ";"Hedensted";372;369;366;346;356;351;342;369;397;341;353;357
" ";" ";" ";" ";" ";"Morsø";291;284;278;262;271;265;257;266;277;247;252;255
" ";" ";" ";" ";" ";"Skive";391;383;375;347;352;350;341;354;369;308;328;332
" ";" ";" ";" ";" ";"Thisted";463;450;436;414;420;416;404;413;426;399;395;399
" ";" ";" ";" ";" ";"Viborg";560;526;512;475;493;488;475;479;421;444;427;433
" ";" ";" ";" ";" ";"Brønderslev";348;349;348;328;347;347;337;309;330;292;297;300
" ";" ";" ";" ";" ";"Frederikshavn";259;254;255;237;238;240;233;237;244;236;229;232
" ";" ";" ";" ";" ";"Vesthimmerlands";342;332;329;301;310;306;298;288;289;270;270;273
" ";" ";" ";" ";" ";"Læsø";12;10;10;9;8;8;8;9;6;9;8;8
" ";" ";" ";" ";" ";"Rebild";281;268;266;244;256;254;247;249;272;235;241;244
" ";" ";" ";" ";" ";"Mariagerfjord";354;340;327;304;312;312;303;286;323;258;278;280
" ";" ";" ";" ";" ";"Jammerbugt";393;383;375;351;362;358;348;380;336;375;348;352
" ";" ";" ";" ";" ";"Aalborg";625;613;603;586;594;593;589;590;539;532;532;533
" ";" ";" ";" ";" ";"Hjørring";430;412;416;392;394;380;370;363;345;368;343;350
" ";" ";" ";" ";"Methan"
" ";" ";" ";" ";" ";"København";6036;5165;5095;5149;4916;5022;4952;4116;3948;3566;3616;3453
" ";" ";" ";" ";" ";"Frederiksberg";26;22;20;18;16;14;14;14;13;12;11;10
" ";" ";" ";" ";" ";"Ballerup";133;138;124;120;121;100;90;190;292;264;267;253
" ";" ";" ";" ";" ";"Brøndby";190;180;171;44;42;40;39;41;39;38;42;32
" ";" ";" ";" ";" ";"Dragør";655;623;663;33;28;31;31;37;46;47;45;42
" ";" ";" ";" ";" ";"Gentofte";132;129;117;1090;984;983;511;439;435;423;408;396
" ";" ";" ";" ";" ";"Gladsaxe";192;208;171;156;161;152;128;119;115;109;117;103
" ";" ";" ";" ";" ";"Glostrup";4516;4342;4223;4130;5741;5569;4720;3897;4232;4084;3873;3786
" ";" ";" ";" ";" ";"Herlev";50;49;44;40;39;34;33;33;31;32;33;29
" ";" ";" ";" ";" ";"Albertslund";115;194;133;34;43;50;21;25;31;21;30;22
" ";" ";" ";" ";" ";"Hvidovre";370;603;1926;1708;1711;1411;2024;1582;1616;1077;1552;1253
" ";" ";" ";" ";" ";"Høje-Taastrup";2177;1995;1928;1636;236;292;545;307;341;354;339;323
" ";" ";" ";" ";" ";"Lyngby-Taarbæk";330;351;302;240;288;239;230;211;226;195;207;192
" ";" ";" ";" ";" ";"Rødovre";51;49;45;39;39;35;35;36;34;33;34;31
" ";" ";" ";" ";" ";"Ishøj";42;38;37;34;45;32;26;777;22;22;26;21
" ";" ";" ";" ";" ";"Tårnby";91;77;79;62;62;56;55;61;57;56;55;48
" ";" ";" ";" ";" ";"Vallensbæk";16;16;15;13;13;12;13;13;12;15;14;12
