"Udledning af drivhusgasser efter enhed, branche, type, kilde,"
"drivhusgas, område og tid"

" ";" ";" ";" ";" ";" ";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011"
"Udledning i ton"
" ";"I alt"
" ";" ";"Faktisk udledning"
" ";" ";" ";"Fossile brændsler (olie, kul, gas)"
" ";" ";" ";" ";"CO2"
" ";" ";" ";" ";" ";"Faxe";5;6;6;5;5;5;6;6;8;5;5;5
" ";" ";" ";" ";" ";"Kalundborg";94;86;73;58;36;40;54;46;33;36;30;27
" ";" ";" ";" ";" ";"Ringsted";4;4;4;4;4;4;4;4;5;3;3;3
" ";" ";" ";" ";" ";"Slagelse";19;16;19;31;20;17;28;20;16;12;13;8
" ";" ";" ";" ";" ";"Stevns";3;3;3;3;3;3;3;3;4;3;3;2
" ";" ";" ";" ";" ";"Sorø";3;3;3;3;4;3;3;3;4;3;3;3
" ";" ";" ";" ";" ";"Lejre";3;3;3;3;3;2;2;3;4;2;2;2
" ";" ";" ";" ";" ";"Lolland";10;10;9;10;10;10;10;10;22;10;10;10
" ";" ";" ";" ";" ";"Næstved";9;9;8;8;8;8;8;8;11;8;8;8
" ";" ";" ";" ";" ";"Guldborgsund";10;10;10;10;10;9;10;10;21;11;11;10
" ";" ";" ";" ";" ";"Vordingborg";6;6;6;6;6;6;5;6;8;5;5;5
" ";" ";" ";" ";" ";"Bornholm";6;6;6;6;6;5;6;5;8;6;6;5
" ";" ";" ";" ";" ";"Middelfart";4;4;4;4;4;4;4;4;5;4;5;4
" ";" ";" ";" ";" ";"Assens";7;7;7;8;7;7;7;6;7;5;6;6
" ";" ";" ";" ";" ";"Faaborg-Midtfyn";8;9;8;8;8;8;8;9;10;8;8;8
" ";" ";" ";" ";" ";"Kerteminde";3;3;3;3;3;3;3;3;4;3;3;3
" ";" ";" ";" ";" ";"Nyborg";4;4;4;4;4;4;3;4;4;3;3;3
" ";" ";" ";" ";" ";"Odense";28;29;28;31;32;31;32;30;30;31;33;26
" ";" ";" ";" ";" ";"Svendborg";6;6;6;6;6;5;5;5;7;5;5;5
" ";" ";" ";" ";" ";"Nordfyns";4;5;5;5;5;5;5;5;5;5;5;5
" ";" ";" ";" ";" ";"Langeland";2;2;2;2;2;2;2;2;2;2;2;2
" ";" ";" ";" ";" ";"Ærø";1;1;1;1;1;1;1;1;1;1;1;1
" ";" ";" ";" ";" ";"Haderslev";9;9;9;9;10;9;9;8;8;7;7;7
" ";" ";" ";" ";" ";"Billund";6;6;6;6;6;6;4;4;4;4;4;4
" ";" ";" ";" ";" ";"Sønderborg";8;8;8;9;9;8;8;8;10;7;8;7
" ";" ";" ";" ";" ";"Tønder";11;11;11;11;11;10;10;7;7;6;7;6
" ";" ";" ";" ";" ";"Esbjerg";28;32;31;35;32;31;33;31;23;24;25;34
" ";" ";" ";" ";" ";"Fanø";0;0;0;0;0;0;0;0;0;0;0;0
" ";" ";" ";" ";" ";"Varde";9;9;9;9;9;8;8;6;7;6;6;6
" ";" ";" ";" ";" ";"Vejen";6;6;6;6;6;6;6;6;7;6;6;6
" ";" ";" ";" ";" ";"Aabenraa";38;39;43;44;39;22;34;32;33;32;37;26
" ";" ";" ";" ";" ";"Fredericia";11;12;12;16;15;13;16;11;12;17;14;11
" ";" ";" ";" ";" ";"Horsens";11;12;11;12;12;12;13;10;11;10;10;10
" ";" ";" ";" ";" ";"Kolding";17;18;17;18;18;16;17;11;11;10;10;9
" ";" ";" ";" ";" ";"Vejle";19;20;19;20;20;20;20;13;14;13;12;11
" ";" ";" ";" ";" ";"Herning";12;12;11;11;11;11;11;11;12;11;11;10
" ";" ";" ";" ";" ";"Holstebro";7;7;7;7;7;7;7;7;8;7;7;7
" ";" ";" ";" ";" ";"Lemvig";8;8;7;7;7;6;6;6;8;7;7;7
" ";" ";" ";" ";" ";"Struer";3;3;3;3;3;3;2;3;3;3;3;3
" ";" ";" ";" ";" ";"Syddjurs";5;5;5;5;5;5;5;5;6;4;4;4
" ";" ";" ";" ";" ";"Norddjurs";11;12;11;11;11;10;10;6;7;5;6;6
" ";" ";" ";" ";" ";"Favrskov";8;8;8;8;8;9;10;8;9;6;6;6
" ";" ";" ";" ";" ";"Odder";2;2;2;2;2;2;2;2;2;2;2;2
" ";" ";" ";" ";" ";"Randers";19;19;18;19;22;19;19;12;12;10;10;9
" ";" ";" ";" ";" ";"Silkeborg";14;15;14;15;15;15;16;21;21;23;21;21
" ";" ";" ";" ";" ";"Samsø";1;1;1;1;1;1;1;1;1;1;1;1
" ";" ";" ";" ";" ";"Skanderborg";6;6;6;6;6;6;5;5;5;5;5;5
" ";" ";" ";" ";" ";"Aarhus";37;45;46;52;49;45;53;48;49;52;48;47
" ";" ";" ";" ";" ";"Ikast-Brande";6;6;6;6;6;6;6;7;7;7;7;7
" ";" ";" ";" ";" ";"Ringkøbing-Skjern";11;11;12;12;11;11;11;11;12;10;10;10
" ";" ";" ";" ";" ";"Hedensted";12;13;12;13;13;13;14;8;9;8;9;8
" ";" ";" ";" ";" ";"Morsø";4;4;4;5;4;4;4;5;6;5;5;5
" ";" ";" ";" ";" ";"Skive";7;8;7;8;8;7;8;8;9;8;8;8
" ";" ";" ";" ";" ";"Thisted";8;8;8;8;8;8;8;8;9;8;8;7
" ";" ";" ";" ";" ";"Viborg";14;14;14;14;15;15;14;14;14;13;13;13
" ";" ";" ";" ";" ";"Brønderslev";4;4;4;4;4;5;5;5;5;4;4;4
" ";" ";" ";" ";" ";"Frederikshavn";8;9;8;8;8;8;8;8;9;8;8;8
" ";" ";" ";" ";" ";"Vesthimmerlands";10;10;10;10;10;10;10;6;8;5;6;6
" ";" ";" ";" ";" ";"Læsø";0;0;0;0;0;0;0;0;1;0;0;0
" ";" ";" ";" ";" ";"Rebild";4;5;4;5;4;4;4;4;4;4;4;4
" ";" ";" ";" ";" ";"Mariagerfjord";12;12;12;12;12;12;12;8;9;7;8;7
" ";" ";" ";" ";" ";"Jammerbugt";5;5;5;5;5;5;5;5;6;5;5;5
" ";" ";" ";" ";" ";"Aalborg";74;75;74;88;79;79;91;96;76;69;76;71
" ";" ";" ";" ";" ";"Hjørring";10;10;10;10;9;9;9;9;11;8;8;10
" ";" ";" ";" ";"Methan"
" ";" ";" ";" ";" ";"København";2158;1639;1494;1465;1509;1528;1231;1271;1090;807;944;810
" ";" ";" ";" ";" ";"Frederiksberg";25;21;19;17;15;13;11;10;9;8;7;7
" ";" ";" ";" ";" ";"Ballerup";122;119;105;95;91;77;69;63;59;62;65;59
" ";" ";" ";" ";" ";"Brøndby";45;42;39;37;34;31;29;30;28;28;32;25
" ";" ";" ";" ";" ";"Dragør";28;29;25;19;20;16;17;14;14;15;16;15
" ";" ";" ";" ";" ";"Gentofte";108;103;91;72;75;62;62;56;51;57;59;60
" ";" ";" ";" ";" ";"Gladsaxe";181;195;158;141;143;134;108;95;91;88;96;87
" ";" ";" ";" ";" ";"Glostrup";79;78;68;49;50;44;46;38;38;36;39;32
" ";" ";" ";" ";" ";"Herlev";45;44;38;33;31;26;23;21;20;22;23;21
" ";" ";" ";" ";" ";"Albertslund";27;27;23;23;22;19;16;15;15;15;20;13
" ";" ";" ";" ";" ";"Hvidovre";107;378;1645;1456;1494;1181;1834;1355;1487;933;1337;1044
" ";" ";" ";" ";" ";"Høje-Taastrup";107;102;90;87;86;72;60;64;57;51;56;49
" ";" ";" ";" ";" ";"Lyngby-Taarbæk";319;338;288;225;270;220;209;186;202;174;186;176
" ";" ";" ";" ";" ";"Rødovre";44;42;38;31;29;25;24;22;20;22;23;21
" ";" ";" ";" ";" ";"Ishøj";38;34;32;30;33;25;18;17;15;15;16;14
" ";" ";" ";" ";" ";"Tårnby";68;65;58;49;47;40;39;40;36;39;38;34
" ";" ";" ";" ";" ";"Vallensbæk";13;13;12;9;9;8;8;7;6;7;8;7
